file	function	registry_key	rule_family	rule_name	input_variant	reference_frame	required_planets	house_conditions	sign_conditions	aspect_conditions	condition_operator	helper_touchpoints	implicit_state_dependency	exception_path	return_shape	implementation_status	resource_binding	evidence_lines	anchor_id
src/jhora/horoscope/chart/yoga.py	_get_natural_benefics	_get_natural_benefics	general_yoga	_get_natural_benefics	chart_1d	mixed					direct				bool	Active		src/jhora/horoscope/chart/yoga.py:37-44	YD900
src/jhora/horoscope/chart/yoga.py	_is_mercury_benefic	_is_mercury_benefic	general_yoga	_is_mercury_benefic	chart_1d	mixed		p_to_h = utils.get_planet_to_house_dict_from_chart(chart_1d) | imb1 = p_to_h[const.MERCURY_ID] == p_to_h[const.JUPITER_ID] | imb2 = p_to_h[const.MERCURY_ID] == p_to_h[const.VENUS_ID]			or				bool	Active		src/jhora/horoscope/chart/yoga.py:45-51	YD900
src/jhora/horoscope/chart/yoga.py	get_yoga_details_for_all_charts	get_yoga_details_for_all_charts	general_yoga	get_yoga_details_for_all_charts	mixed	mixed		global p_to_h_navamsa, h_to_p_navamsa, asc_house_navamsa,planet_positions | asc_house_navamsa,asc_long = drik.dasavarga_from_long(ascendant_longitude,divisional_chart_factor=9) | planet_positions_navamsa += [[ascendant_index,(asc_house_navamsa,asc_long)]]			and				tuple_dict_count_total	Dispatcher_Only		src/jhora/horoscope/chart/yoga.py:62-94	YD900
src/jhora/horoscope/chart/yoga.py	get_yoga_details	get_yoga_details	general_yoga	get_yoga_details	mixed	lagna		global p_to_h, h_to_p, asc_house, planet_positions | asc_house,asc_long = drik.dasavarga_from_long(ascendant_longitude,divisional_chart_factor) | planet_positions = [[ascendant_index,(asc_house,asc_long)]] + planet_positions			and				tuple_dict_count_total	Dispatcher_Only		src/jhora/horoscope/chart/yoga.py:95-135	YD900
src/jhora/horoscope/chart/yoga.py	vesi_yoga_from_planet_positions	vesi_yoga	general_yoga	vesi_yoga_from_planet_positions	planet_positions	mixed		"""""""  BVR-16 If there is a planet other than Moon in the 2nd house from Sun, then this yoga is present. """""" | h_to_p = utils.get_house_planet_list_from_planet_positions(planet_positions)"			direct				bool	Active	vesi_yoga	src/jhora/horoscope/chart/yoga.py:137-140	YD900
src/jhora/horoscope/chart/yoga.py	vesi_yoga_from_jd_place	vesi_yoga	general_yoga	vesi_yoga_from_jd_place	jd_place	mixed		"""""""  BVR-16 If there is a planet other than Moon in the 2nd house from Sun, then this yoga is present. """""""			direct				bool	Active	vesi_yoga	src/jhora/horoscope/chart/yoga.py:141-144	YD900
src/jhora/horoscope/chart/yoga.py	vesi_yoga	vesi_yoga	general_yoga	vesi_yoga	chart_1d	mixed		"""""""  BVR-16 If there is a planet other than Moon in the 2nd house from Sun, then this yoga is present. """""" | house_from_yoga_planet = const.HOUSE_2 | p_to_h = utils.get_planet_to_house_dict_from_chart(chart_1d)"			and				tuple	Active	vesi_yoga	src/jhora/horoscope/chart/yoga.py:145-153	YD900
src/jhora/horoscope/chart/yoga.py	vosi_yoga_from_planet_positions	vosi_yoga	general_yoga	vosi_yoga_from_planet_positions	planet_positions	mixed		""""""" BVR-17 (Vasi Yoga) If there is a planet other than Moon in the 12th house from Sun, then this yoga is present. """""" | h_to_p = utils.get_house_planet_list_from_planet_positions(planet_positions)"			direct				bool	Active	vosi_yoga	src/jhora/horoscope/chart/yoga.py:154-157	YD900
src/jhora/horoscope/chart/yoga.py	vosi_yoga	vosi_yoga	general_yoga	vosi_yoga	chart_1d	mixed		""""""" BVR-17 (Vasi Yoga) If there is a planet other than Moon in the 12th house from Sun, then this yoga is present. """""" | house_from_yoga_planet = const.HOUSE_12 | p_to_h = utils.get_planet_to_house_dict_from_chart(chart_1d)"			and				tuple	Active	vosi_yoga	src/jhora/horoscope/chart/yoga.py:158-166	YD900
src/jhora/horoscope/chart/yoga.py	vosi_yoga_from_jd_place	vosi_yoga	general_yoga	vosi_yoga_from_jd_place	jd_place	mixed		""""""" BVR-17 (Vasi Yoga) If there is a planet other than Moon in the 12th house from Sun, then this yoga is present. """""""			direct				bool	Active	vosi_yoga	src/jhora/horoscope/chart/yoga.py:167-170	YD900
src/jhora/horoscope/chart/yoga.py	ubhayachara_yoga_from_planet_positions	ubhayachara_yoga	general_yoga	ubhayachara_yoga_from_planet_positions	planet_positions	mixed		""""""" BVR-18 Obhayachari / Ubhayachara  Yoga - There is a planet other than Moon in the 2nd and 12th house from Sun. """""""			and				bool	Active	ubhayachara_yoga	src/jhora/horoscope/chart/yoga.py:171-174	YD900
src/jhora/horoscope/chart/yoga.py	ubhayachara_yoga	ubhayachara_yoga	general_yoga	ubhayachara_yoga	chart_1d	mixed		""""""" BVR-18 Obhayachari / Ubhayachara  Yoga - There is a planet other than Moon in the 2nd and 12th house from Sun. """""""			and				bool	Active	ubhayachara_yoga	src/jhora/horoscope/chart/yoga.py:175-178	YD900
src/jhora/horoscope/chart/yoga.py	ubhayachara_yoga_from_jd_place	ubhayachara_yoga	general_yoga	ubhayachara_yoga_from_jd_place	jd_place	mixed		""""""" BVR-18 Obhayachari / Ubhayachara  Yoga - There is a planet other than Moon in the 2nd and 12th house from Sun. """""""			and				bool	Active	ubhayachara_yoga	src/jhora/horoscope/chart/yoga.py:179-182	YD900
src/jhora/horoscope/chart/yoga.py	nipuna_yoga_from_planet_positions	nipuna_yoga	general_yoga	nipuna_yoga_from_planet_positions	planet_positions	sun		p_to_h = utils.get_planet_house_dictionary_from_planet_positions(planet_positions) | return p_to_h[const.SUN_ID]==p_to_h[const.MERCURY_ID]	""""""" BVR-26 Budha-Aaditya Yoga (Nipuna Yoga)- If Sun and Mercury are together (in one sign), this yoga is present."""""""		and+or				bool	Active	nipuna_yoga	src/jhora/horoscope/chart/yoga.py:183-190	YD900
src/jhora/horoscope/chart/yoga.py	nipuna_yoga_from_jd_place	nipuna_yoga	general_yoga	nipuna_yoga_from_jd_place	jd_place	sun			""""""" BVR-26 Budha-Aaditya Yoga (Nipuna Yoga)- If Sun and Mercury are together (in one sign), this yoga is present."""""""		and+or				bool	Active	nipuna_yoga	src/jhora/horoscope/chart/yoga.py:191-199	YD900
src/jhora/horoscope/chart/yoga.py	nipuna_yoga	nipuna_yoga	general_yoga	nipuna_yoga	chart_1d	sun		p_to_h = utils.get_planet_to_house_dict_from_chart(chart_1d) | return p_to_h[const.SUN_ID]==p_to_h[const.MERCURY_ID]	""""""" BVR-26 Budha-Aaditya Yoga (Nipuna Yoga)- If Sun and Mercury are together (in one sign), this yoga is present."""""""		and+or				bool	Active	nipuna_yoga	src/jhora/horoscope/chart/yoga.py:201-208	YD900
