file	function	koota_name	method_variant	input_basis	lookup_source	csv_cache_dependency	score_formula	max_score	return_shape	normalization_unit	evidence_lines	anchor_id
src/jhora/horoscope/match/compatibility.py	varna_porutham	varna	north	raasi->varna class	hardcoded_array	none	VarnaArray[gvk][bvk]	1	tuple(score,max)	36_point_component	196-206	MC04
src/jhora/horoscope/match/compatibility.py	varna_porutham	varna	south	raasi->varna class	hardcoded_array	none	VarnaArray[gvk][bvk] == 1	1	bool	10_point_gate	196-205	MC04
src/jhora/horoscope/match/compatibility.py	vasiya_porutham	vasiya	north	raasi mapping	hardcoded_array	none	VasiyaArray[_] or VasiyaArray_AstroYogi[_]	2.0	tuple(score,max)	36_point_component	248-291	MC04
src/jhora/horoscope/match/compatibility.py	vasiya_porutham_south	vasiya	south	raasi mapping	computed_rule	none	count_rasis(...) > const.raasi_threshold_south	1	bool	10_point_gate	244-247	MC07
src/jhora/horoscope/match/compatibility.py	dina_porutham	tara_dina	north	count_from_girl/count_from_boy	computed_rule	none	count membership with special exclusions	3.0	tuple(score,max)	36_point_component	292-354	MC08
src/jhora/horoscope/match/compatibility.py	dina_porutham_south	tara_dina	south	count_from_boy + exception lists	computed_rule	none	count whitelist plus exception_dict and exception_22_list	1	bool	10_point_gate	298-328	MC05
src/jhora/horoscope/match/compatibility.py	yoni_porutham	yoni	north	nakshatra yoni mapping	hardcoded_array	none	YoniArray[yoni_mappings[g-1]][yoni_mappings[b-1]]	4	tuple(score,max)	36_point_component	386-392	MC04
src/jhora/horoscope/match/compatibility.py	yoni_porutham_south	yoni	south	nakshatra yoni mapping	computed_rule	none	YoniArray[...] > 0	1	bool	10_point_gate	383-385	MC07
src/jhora/horoscope/match/compatibility.py	gana_porutham	gana	north	nakshatra gana buckets	hardcoded_array	none	gana_array[girl_gana][boy_gana]	6	tuple(score,max)	36_point_component	363-373	MC04
src/jhora/horoscope/match/compatibility.py	gana_porutham_south	gana	south	nakshatra gana buckets	computed_rule	none	pair membership in gana_south_* lists	1	bool	10_point_gate	355-362	MC07
src/jhora/horoscope/match/compatibility.py	raasi_adhipathi_porutham	graha_maitri	north	raasi lords	hardcoded_array	none	raasi_adhipathi_array[...]	5.0	tuple(score,max)	36_point_component	402-408	MC04
src/jhora/horoscope/match/compatibility.py	raasi_adhipathi_porutham_south	graha_maitri	south	raasi lords	hardcoded_array	none	raasi_adhipathi_array_south[...] > 0	1	bool	10_point_gate	393-401	MC07
src/jhora/horoscope/match/compatibility.py	raasi_porutham	bhakoot_raasi	north	girl/boy raasi positions	hardcoded_array	none	raasi_array[girl_raasi-1][boy_raasi-1]	7	tuple(score,max)	36_point_component	414-420	MC04
src/jhora/horoscope/match/compatibility.py	raasi_porutham_south	bhakoot_raasi	south	girl/boy raasi positions	computed_rule	none	count_rasis(girl_raasi,boy_raasi) > const.raasi_threshold_south	1	bool	10_point_gate	409-413	MC07
src/jhora/horoscope/match/compatibility.py	naadi_porutham	nadi	north	nakshatra->nadi bucket	hardcoded_array	none	NadiArray[bv][gv]	8	tuple(score,max)	36_point_component	421-429	MC06
src/jhora/horoscope/match/compatibility.py	naadi_porutham	nadi	south	nakshatra->nadi bucket	hardcoded_array	none	NadiArray[bv][gv] == 8	1	bool	10_point_gate	421-428	MC06
src/jhora/horoscope/match/compatibility.py	mahendra_porutham	mahendra	shared	count_from_girl	computed_rule	none	count_from_girl in [4,7,10,13,16,19,22,25]	bool	bool	boolean_gate	430-440	MC08
src/jhora/horoscope/match/compatibility.py	vedha_porutham	vedha	shared	sum of nakshatra numbers	computed_rule	none	(boy_nak + girl_nak) not in [19,28,37]	bool	bool	boolean_gate	441-451	MC08
src/jhora/horoscope/match/compatibility.py	rajju_porutham	rajju	shared	nakshatra rajju groups	computed_rule	none	group inequality across head/neck/stomach/waist/foot	bool	bool	boolean_gate	452-481	MC08
src/jhora/horoscope/match/compatibility.py	sthree_dheerga_porutham	sthree_dheerga	shared	count_from_girl	computed_rule	none	count_from_girl > 13	bool	bool	boolean_gate	482-490	MC08
src/jhora/horoscope/match/compatibility.py	compatibility_score	aggregate_north	north	8 koota tuples + 4 bools	computed_rule	write_through_generator	sum(varna..naadi numeric components)	36.0	list[len=13]	36_point_total	519-566	MC08
src/jhora/horoscope/match/compatibility.py	compatibility_score_south	aggregate_south	south	10 bools + extra poruthams	computed_rule	write_through_generator	sum([dina,gana,mahendra,sthree_dheerga,yoni,raasi,raasi_adhipathi,vasiya,rajju,vedha])	10.0	list[len=13]	10_point_total	500-517	MC07
src/jhora/horoscope/match/compatibility.py	compatibility_score	aggregate_south_with_gate	south	10 bools + minimum gate	computed_rule	write_through_generator	south aggregate + minimum_porutham appended	10.0	list[len=14]	10_point_total	541-561	MC08
src/jhora/horoscope/match/compatibility.py	Match.get_matching_partners	precomputed_cache_projection	north	csv row slices	csv_precomputed	read_only_cache	row[_VARNA:_SCORE], row[_SCORE], row[_MAHEN:]	36.0	tuple(nak,pada,ettu,score,naalu)	36_point_total	667-675	MC10
src/jhora/horoscope/match/compatibility.py	Match.get_matching_partners	precomputed_cache_projection	south	csv row slices with minimum_porutham in tail	csv_precomputed	read_only_cache	same row slicing over 18-column south cache	10.0	tuple(nak,pada,ettu,score,naalu_with_minimum)	10_point_total	667-675	MC10
